Type,DeploymentId,Timestamp,PullRequests
Success,340fcfb9-1a29-4831-be8d-84e4e3649901,2024-02-29T22:32:23.794379Z,"[{'MergedAt': '2024-02-29T22:21:47Z', 'CreatedAt': '2024-02-29T22:04:48Z', 'AuthorUsername': 'D41270768', 'AuthorName': 'D41270768', 'Description': 'Azure DevOps work items: [AdtalemGlobalEducation/PROD-252103](https://dev.azure.com/AdtalemGlobalEducation/PROD/_workitems/edit/252103/)  \nMade changes on case trigger handles class.\n\n| Difference type | Metadata type | Name |\n| ------------- | ------------- | ------------- |\n| Different (custom selection) | Apex class | CaseTriggerHandler |\n\n\n[AB#252103](https://dev.azure.com/AdtalemGlobalEducation/7102b53c-9408-44a3-b99c-9708d6c32d31/_workitems/edit/252103)', 'Title': '252103 Swapna chatboatcase', 'PullRequestNumber': 2341, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2341'}]"
Failure,551444c6-734b-4d16-b89a-0863013e7280,2024-02-29T22:21:42.317459Z,"[{'MergedAt': '2024-02-29T22:10:23Z', 'CreatedAt': '2024-02-29T21:52:41Z', 'AuthorUsername': 'D41266490', 'AuthorName': 'D41266490', 'Description': 'Azure DevOps work items: [AdtalemGlobalEducation/PROD-132076](https://dev.azure.com/AdtalemGlobalEducation/PROD/_workitems/edit/132076/)  \n\n\n| Difference type | Metadata type | Name |\n| ------------- | ------------- | ------------- |\n| Deleted | Custom field | Lead.Address_Verification |\n\n\n[AB#132076](https://dev.azure.com/AdtalemGlobalEducation/7102b53c-9408-44a3-b99c-9708d6c32d31/_workitems/edit/132076)', 'Title': 'AQ S132076 LeadUpdField', 'PullRequestNumber': 2340, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2340'}]"
Failure,5981fa7f-ea16-4b7b-80ed-a22a013f8f4c,2024-02-29T21:55:49.11207Z,"[{'MergedAt': '2024-02-29T21:44:29Z', 'CreatedAt': '2024-02-29T21:34:48Z', 'AuthorUsername': 'D41267365', 'AuthorName': 'D41267365', 'Description': '', 'Title': 'D246416 MA2', 'PullRequestNumber': 2339, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2339'}]"
Failure,02237397-636f-46a4-a343-01bd650ca418,2024-02-29T20:50:45.500282Z,"[{'MergedAt': '2024-02-29T20:14:18Z', 'CreatedAt': '2024-02-29T20:11:10Z', 'AuthorUsername': 'D41266490', 'AuthorName': 'D41266490', 'Description': 'Azure DevOps work items: [AdtalemGlobalEducation/PROD-132076](https://dev.azure.com/AdtalemGlobalEducation/PROD/_workitems/edit/132076/)  \n\n\n| Difference type | Metadata type | Name |\n| ------------- | ------------- | ------------- |\n| No difference | Custom object | Lead |\n| New | Custom field | Lead.Contact_Verification |\n| Different | Custom field | Lead.HasProfanity |\n| Different | Custom field | Lead.isInValid |\n\n\n[AB#132076](https://dev.azure.com/AdtalemGlobalEducation/7102b53c-9408-44a3-b99c-9708d6c32d31/_workitems/edit/132076)', 'Title': 'AQ S132076 ActivePrimeLeadFields', 'PullRequestNumber': 2338, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2338'}]"
Failure,8c030060-5e68-46af-9ebf-2b6d0ea36232,2024-02-29T20:35:03.453953Z,"[{'MergedAt': '2024-02-29T20:13:12Z', 'CreatedAt': '2024-02-29T19:48:34Z', 'AuthorUsername': 'D41173672', 'AuthorName': 'D41173672', 'Description': 'Azure DevOps work items: [AdtalemGlobalEducation/PROD-225748](https://dev.azure.com/AdtalemGlobalEducation/PROD/_workitems/edit/225748/)  \nBackDeploy_CHG0067011\n\n[AB#225748](https://dev.azure.com/AdtalemGlobalEducation/7102b53c-9408-44a3-b99c-9708d6c32d31/_workitems/edit/225748)', 'Title': 'BackDeploy_CHG0067011_2', 'PullRequestNumber': 2337, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2337'}]"
Failure,b233b5e8-9b34-4368-84ce-a0ba97612445,2024-02-29T19:57:57.467475Z,"[{'MergedAt': '2024-02-29T19:46:58Z', 'CreatedAt': '2024-02-29T19:45:44Z', 'AuthorUsername': 'D41267366', 'AuthorName': 'D41267366', 'Description': 'Azure DevOps work items: [AdtalemGlobalEducation/PROD-250619](https://dev.azure.com/AdtalemGlobalEducation/PROD/_workitems/edit/250619/)  \nAdded Campaign(CampaignCode__C) field to Activity History related\n\n| Difference type | Metadata type | Name |\n| ------------- | ------------- | ------------- |\n| Different (custom selection) | Layout | Opportunity-CU Admin Layout |\n| Different (custom selection) | Layout | Opportunity-CU Admin Layout POC |\n| Different (custom selection) | Layout | Opportunity-CU Admin Layout_Marketing Data |\n| Different (custom selection) | Layout | Opportunity-CU Enrollment Layout-Pending |\n| Different (custom selection) | Layout | Opportunity-CU Enrollment Layout-Submitted |\n| Different (custom selection) | Layout | Opportunity-CU Non-Enrollment Layout-Pending |\n| Different (custom selection) | Layout | Opportunity-CU Non-Enrollment Layout-Submitted |\n| Different | Layout | Opportunity-Opportunity - Bursar |\n| Different | Layout | Opportunity-Opportunity - UK %28for service agents%29 |\n| Different | Layout | Opportunity-Opportunity - UoL Enrollment |\n| Different | Layout | Opportunity-Opportunity - UoR Enrollment |\n\n\n[AB#250619](https://dev.azure.com/AdtalemGlobalEducation/7102b53c-9408-44a3-b99c-9708d6c32d31/_workitems/edit/250619)', 'Title': 'D250619 TY6', 'PullRequestNumber': 2336, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2336'}]"
Failure,f3461cf0-e399-4795-a904-c96156bfb7b7,2024-02-29T19:44:41.738168Z,"[{'MergedAt': '2024-02-29T19:33:06Z', 'CreatedAt': '2024-02-29T19:12:25Z', 'AuthorUsername': 'D41227253', 'AuthorName': 'D41227253', 'Description': '', 'Title': '252397 - bugfix', 'PullRequestNumber': 2335, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2335'}]"
Success,42ad58a4-5a8c-44ca-8257-73c2707a47c3,2024-02-29T19:24:45.837503Z,"[{'MergedAt': '2024-02-29T19:14:19Z', 'CreatedAt': '2024-02-29T19:07:56Z', 'AuthorUsername': 'D41265109', 'AuthorName': 'D41265109', 'Description': 'Azure DevOps work items: [AdtalemGlobalEducation/PROD-249471](https://dev.azure.com/AdtalemGlobalEducation/PROD/_workitems/edit/249471/)  \n249471 - Revert Changes\n\n| Difference type | Metadata type | Name |\n| ------------- | ------------- | ------------- |\n| Different (custom selection) | Layout | Opportunity-CU Enrollment Layout-Pending |\n\n\n[AB#249471](https://dev.azure.com/AdtalemGlobalEducation/7102b53c-9408-44a3-b99c-9708d6c32d31/_workitems/edit/249471)', 'Title': '249471 RevertChanges', 'PullRequestNumber': 2334, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2334'}]"
Failure,27049bf0-fd12-4093-a7b8-658a73d66490,2024-02-29T19:10:39.737159Z,"[{'MergedAt': '2024-02-29T18:52:52Z', 'CreatedAt': '2024-02-29T18:51:08Z', 'AuthorUsername': 'D41174013', 'AuthorName': 'D41174013', 'Description': '252101-tempoflow', 'Title': '252101-tempoflow', 'PullRequestNumber': 2333, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2333'}]"
Success,6e349caa-3118-4051-8401-94e7ec77127e,2024-02-29T18:59:07.096529Z,"[{'MergedAt': '2024-02-29T18:40:58Z', 'CreatedAt': '2024-02-29T18:34:55Z', 'AuthorUsername': 'D41267365', 'AuthorName': 'D41267365', 'Description': '', 'Title': 'D246416 MA', 'PullRequestNumber': 2331, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2331'}]"
Failure,2e07bb89-e168-406d-8289-bbcf52818ab1,2024-02-29T18:47:32.362216Z,"[{'MergedAt': '2024-02-29T18:32:26Z', 'CreatedAt': '2024-02-29T18:25:03Z', 'AuthorUsername': 'D41244165', 'AuthorName': 'D41244165', 'Description': 'Azure DevOps work items: [AdtalemGlobalEducation/PROD-241069](https://dev.azure.com/AdtalemGlobalEducation/PROD/_workitems/edit/241069/)  \nAZ 241069 Alerting\n\n| Difference type | Metadata type | Name |\n| ------------- | ------------- | ------------- |\n| Different | Apex class | CreateAppElementsController |\n| No difference | Custom labels | CustomLabels |\n| Different | Aura component | NF_Create_Available_Discounts |\n| New | Custom label | Program_Start_Date_Null_Check |\n| New | Custom label | Session_Start_Date_Null_Check |\n\n\n[AB#241069](https://dev.azure.com/AdtalemGlobalEducation/7102b53c-9408-44a3-b99c-9708d6c32d31/_workitems/edit/241069)', 'Title': 'AZ 241069 Alerting', 'PullRequestNumber': 2330, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2330'}]"
